"Target","Var1","Var2","Var3","RMSE"
"SalePrice","N_FacilitiesInApt_123vs45678vs910","N_FacilitiesNearBy.Total.","Size.sqf.",59697.5890379637
"SalePrice","N_APT","N_FacilitiesNearBy.PublicOffice._gr_stat","Size.sqf.",59734.2043484199
"SalePrice","N_elevators","Size.sqf.","YearBuilt",59737.5676080721
"SalePrice","N_SchoolNearBy.Elementary.","Size.sqf.","YearBuilt_2000_2010",59744.0996039568
"SalePrice","Size.sqf.","SubwayStation","TimeToSubway_Novs05vsOther",59755.3655122101
"SalePrice","N_FacilitiesNearBy.Total.","Size.sqf.","YearBuilt_2000_2010",59760.6160900134
"SalePrice","N_SchoolNearBy.High.","Size.sqf.","YearBuilt_2000_2010",59775.4744043719
"SalePrice","N_SchoolNearBy.Middle.","Size.sqf.","YearBuilt_2000_2010",59784.7673297952
"SalePrice","N_FacilitiesInApt_123vs45678vs910","N_FacilitiesNearBy.ETC.","Size.sqf.",59799.6396318831
"SalePrice","N_Parkinglot.Ground.","Size.sqf.","YearBuilt_2000_2010",59815.3401280056
"SalePrice","N_FacilitiesNearby.corr_neg","Size.sqf.","YearBuilt",59832.63286033
"SalePrice","Floor","Size.sqf.","YearBuilt",59850.5478753807
"SalePrice","N_SchoolNearBy.Elementary._cat","Size.sqf.","YearBuilt_2005",59854.936408255
"SalePrice","Size.sqf.","YearBuilt","YearBuilt_2000_2010",59862.4869825989
"SalePrice","AptManageType","Size.sqf.","YearBuilt_2000_2010",59862.9974111353
"SalePrice","Size.sqf.","YearBuilt_2000_2010",NA,59866.1832369475
"SalePrice","SalePrice","Size.sqf.","YearBuilt_2000_2010",59866.1832369475
"SalePrice","HeatingType","Size.sqf.","YearBuilt_2000_2010",59870.0196968096
"SalePrice","N_FacilitiesNearby.corr_pos","Size.sqf.","YearBuilt",59874.0741921124
"SalePrice","N_FacilitiesNearBy.Hospital.","Size.sqf.","YearBuilt",59880.970939369
"SalePrice","MonthSold","Size.sqf.","YrSold",59888.4061207366
"SalePrice","N_FacilitiesNearBy.Mall.","Size.sqf.","YearBuilt_2000_2010",59890.8638648032
"SalePrice","N_FacilitiesNearBy.ETC.","Size.sqf.","YearBuilt",59906.2522122579
"SalePrice","N_FacilitiesNearBy.ETC.","Size.sqf.","YrSold_2011_2014",59907.5565949072
"SalePrice","N_FacilitiesNearBy.Dpartmentstore._01vs2","Size.sqf.","YrSold_2011_2014",59911.489251131
"SalePrice","N_SchoolNearBy.University.","Size.sqf.","YearBuilt",59923.6622184763
"SalePrice","Size.sqf.","SubwayStation_byProxy1","YrSold_2011_2014",59925.8676015218
"SalePrice","N_Parkinglot.Ground.","Size.sqf.","YrSold_2013",59939.3293487375
"SalePrice","N_FacilitiesNearBy.Park._01vs2","Size.sqf.","YrSold_2011_2014",59973.3524204747
"SalePrice","N_manager_splitAt4","Size.sqf.","YrSold",59974.5395813875
"SalePrice","N_FacilitiesNearBy.Park.","Size.sqf.","YearBuilt",59994.2761669167
"SalePrice","N_SchoolNearBy.Total.","Size.sqf.","YrSold_2011_2014",60006.6509328407
"SalePrice","Size.sqf.","SubwayStation_byProxy2","YearBuilt",60093.8018252021
"SalePrice","N_FacilitiesNearBy.PublicOffice._splitAt4","N_Parkinglot.Basement.","Size.sqf.",60108.7778346516
"SalePrice","N_SchoolNearBy.Middle._0vs123vs4","Size.sqf.","YearBuilt",60118.9308535053
"SalePrice","N_FacilitiesNearBy.PublicOffice._splitAt4","Size.sqf.","YearBuilt",60133.6608092485
"SalePrice","N_SchoolNearBy.High.","Size.sqf.","YrSold_2011_2014",60143.6388866746
"SalePrice","N_FacilitiesInApt","N_SchoolNearBy.Middle.","Size.sqf.",60157.7468283351
"SalePrice","N_FacilitiesNearBy.Hospital.","N_Parkinglot.Basement.","Size.sqf.",60175.888055366
"SalePrice","N_FacilitiesInApt","N_SchoolNearBy.Elementary.","Size.sqf.",60199.6373426638
"SalePrice","N_FacilitiesNearBy.Hospital._0vs12","Size.sqf.","YearBuilt",60207.7659613437
"SalePrice","MonthSold","Size.sqf.","YearBuilt_2005",60227.4358717591
"SalePrice","N_Parkinglot.Basement.","Size.sqf.","SubwayStation_byProxy2",60229.5012133732
